57468.0,0.569564,0.569564,0.0
54539.0,0.430436,0.430436,0.0
57560.0,0.430435,0.49,0.0
57557.0,0.430436,0.47,0.0
57563.0,0.430435,0.51,0.0
57579.0,0.410871,0.53,0.0
57576.0,0.410871,0.51,0.0
57573.0,0.410871,0.49,0.0
57570.0,0.410871,0.47,0.0
57566.0,0.430436,0.53,0.0
57869.0,0.47,0.589129,0.0
57866.0,0.49,0.589129,0.0
57863.0,0.51,0.589129,0.0
57860.0,0.53,0.589129,0.0
57856.0,0.47,0.569564,0.0
57853.0,0.49,0.569565,0.0
57850.0,0.51,0.569565,0.0
57847.0,0.53,0.569564,0.0
55972.0,0.569564,0.430436,0.0
51517.0,0.47,0.47,0.0
51520.0,0.49,0.47,0.0
51526.0,0.53,0.47,0.0
51523.0,0.51,0.47,0.0
51530.0,0.47,0.49,0.0
51533.0,0.49,0.49,0.0
51536.0,0.51,0.49,0.0
51539.0,0.53,0.49,0.0
51543.0,0.47,0.51,0.0
51546.0,0.49,0.51,0.0
51549.0,0.51,0.51,0.0
51552.0,0.53,0.51,0.0
51556.0,0.47,0.53,0.0
51559.0,0.49,0.53,0.0
51562.0,0.51,0.53,0.0
51565.0,0.53,0.53,0.0
67773.0,0.430438,0.45,0.0
67771.0,0.410872,0.45,0.0
67858.0,0.569562,0.45,0.0
67856.0,0.589128,0.45,0.0
67742.0,0.45,0.430439,0.0
67740.0,0.45,0.410873,0.0
67711.0,0.430438,0.55,0.0
67709.0,0.410872,0.55,0.0
68034.0,0.589128,0.55,0.0
68036.0,0.569562,0.55,0.0
68059.0,0.55,0.569562,0.0
68057.0,0.55,0.589128,0.0
67943.0,0.55,0.430438,0.0
67941.0,0.55,0.410872,0.0
64595.0,0.55,0.55,0.0
64629.0,0.47,0.55,0.0
64631.0,0.49,0.55,0.0
63467.0,0.45,0.45,0.0
63466.0,0.45,0.51,0.0
63464.0,0.45,0.53,0.0
63430.0,0.45,0.55,0.0
67595.0,0.53,0.45,0.0
67593.0,0.51,0.45,0.0
67590.0,0.45,0.47,0.0
67588.0,0.45,0.49,0.0
67582.0,0.53,0.55,0.0
67580.0,0.51,0.55,0.0
67574.0,0.55,0.47,0.0
67572.0,0.55,0.49,0.0
67624.0,0.45,0.589128,0.0
67626.0,0.45,0.569562,0.0
65791.0,0.55,0.45,0.0
65790.0,0.55,0.51,0.0
65788.0,0.55,0.53,0.0
66952.0,0.49,0.45,0.0
66950.0,0.47,0.45,0.0
58427.0,0.53,0.430436,0.0
58430.0,0.51,0.430435,0.0
58449.0,0.47,0.410871,0.0
58446.0,0.49,0.410871,0.0
58443.0,0.51,0.410871,0.0
58440.0,0.53,0.410871,0.0
58436.0,0.47,0.430436,0.0
58433.0,0.49,0.430435,0.0
58159.0,0.589129,0.53,0.0
58156.0,0.589129,0.51,0.0
58153.0,0.589129,0.49,0.0
58150.0,0.589129,0.47,0.0
