NODE_ID,X,Y,Z,HF_X,HF_Y,HF_Z
    66863.,  0.550000,  0.332609,  0.130326, -1.768505,  6.027328, 24.726421
    66865.,  0.550000,  0.352174,  0.130272, -2.220331,  6.761083, 24.370546
    66867.,  0.550000,  0.371739,  0.130217, -2.789837,  7.496370, 23.657035
    66869.,  0.550000,  0.391305,  0.130163, -3.509732,  8.267969, 22.282813
    66871.,  0.550000,  0.410870,  0.130109, -4.544690,  9.313388, 19.670392
    66873.,  0.550000,  0.430435,  0.130054, -6.203746, 11.792199, 16.116656
    66898.,  0.550000,  0.019566,  0.000000, -0.104611,  0.140016, 25.831165
    66900.,  0.550000,  0.039132,  0.000000, -0.109377,  0.282426, 25.846277
    66902.,  0.550000,  0.058698,  0.000000, -0.117552,  0.429689, 25.871694
    66904.,  0.550000,  0.078264,  0.000000, -0.129497,  0.584434, 25.907863
    66906.,  0.550000,  0.097830,  0.000000, -0.145760,  0.749546, 25.955401
    66908.,  0.550000,  0.117392,  0.000000, -0.167107,  0.928241, 26.015176
    66910.,  0.550000,  0.136957,  0.000000, -0.194617,  1.124386, 26.088306
    66912.,  0.550000,  0.156523,  0.000000, -0.229747,  1.342453, 26.176187
    66914.,  0.550000,  0.176090,  0.000000, -0.274497,  1.587948, 26.280580
    66916.,  0.550000,  0.195655,  0.000000, -0.331629,  1.867755, 26.403686
    66918.,  0.550000,  0.215221,  0.000000, -0.405003,  2.190659, 26.548273
    66922.,  0.470000,  0.450000,  0.016667,  7.410096, 14.770274, 40.005435
    66924.,  0.470000,  0.450000,  0.033333,  6.833310, 19.698277, 55.571962
    66929.,  0.490000,  0.450000,  0.016667,  2.268975, 15.472694, 40.455549
    66931.,  0.490000,  0.450000,  0.033333,  1.894924, 19.541516, 53.392243
    66936.,  0.510000,  0.450000,  0.016667, -2.268977, 15.472696, 40.455548
    66938.,  0.510000,  0.450000,  0.033333, -1.894926, 19.541516, 53.392245
    66943.,  0.530000,  0.450000,  0.016667, -7.410092, 14.770272, 40.005437
    66945.,  0.530000,  0.450000,  0.033333, -6.833325, 19.698291, 55.571950
    66950.,  0.470000,  0.450000,  0.000000,  6.560660, 12.152139, 32.918941
    66952.,  0.490000,  0.450000,  0.000000,  2.144081, 12.856126, 33.223934
    66976.,  0.450000,  0.019566,  0.018659,  0.111304,  0.148944, 25.730582
    66978.,  0.450000,  0.039132,  0.018569,  0.116361,  0.300364, 25.744144
    66980.,  0.450000,  0.058698,  0.018478,  0.125040,  0.456869, 25.766738
    66982.,  0.450000,  0.078264,  0.018388,  0.137724,  0.621245, 25.798734
    66984.,  0.450000,  0.097830,  0.018297,  0.154993,  0.796536, 25.840656
    66986.,  0.450000,  0.117391,  0.018207,  0.177658,  0.986150, 25.893181
    66988.,  0.450000,  0.136957,  0.018116,  0.206857,  1.194143, 25.957192
    66990.,  0.450000,  0.156523,  0.018025,  0.244130,  1.425220, 26.033735
    66992.,  0.450000,  0.176089,  0.017935,  0.291588,  1.685156, 26.124072
    66994.,  0.450000,  0.195655,  0.017844,  0.352139,  1.981154, 26.229700
    66996.,  0.450000,  0.215221,  0.017754,  0.429850,  2.322386, 26.352375
    66998.,  0.450000,  0.234783,  0.017663,  0.530442,  2.720694, 26.494141
    67000.,  0.450000,  0.254349,  0.017572,  0.662239,  3.191961, 26.657556
    67002.,  0.450000,  0.273915,  0.017482,  0.837357,  3.757110, 26.845783
    67004.,  0.450000,  0.293481,  0.017391,  1.073881,  4.444201, 27.063298
    67006.,  0.450000,  0.313047,  0.017301,  1.399171,  5.290435, 27.317456
    67008.,  0.450000,  0.332613,  0.017210,  1.855079,  6.343227, 27.621628
    67010.,  0.450000,  0.352174,  0.017120,  2.505874,  7.659578, 28.006567
    67012.,  0.450000,  0.371740,  0.017029,  3.449776,  9.288795, 28.533904
    67014.,  0.450000,  0.391306,  0.016938,  4.837196, 11.266202, 29.401541
    67016.,  0.450000,  0.410872,  0.016848,  6.847925, 13.284947, 30.965533
    67018.,  0.450000,  0.430438,  0.016757,  9.657907, 14.392369, 34.261812
    67043.,  0.450000,  0.019566,  0.037319,  0.117119,  0.156666, 25.624278
    67045.,  0.450000,  0.039132,  0.037138,  0.122426,  0.315883, 25.636336
    67047.,  0.450000,  0.058697,  0.036957,  0.131538,  0.480376, 25.656100
    67049.,  0.450000,  0.078263,  0.036775,  0.144854,  0.653051, 25.683877
    67051.,  0.450000,  0.097829,  0.036594,  0.162979,  0.837073, 25.720080
    67053.,  0.450000,  0.117391,  0.036413,  0.186757,  1.035976, 25.765229
    67055.,  0.450000,  0.136957,  0.036232,  0.217369,  1.253932, 25.819968
    67057.,  0.450000,  0.156523,  0.036051,  0.256409,  1.495770, 25.885012
    67059.,  0.450000,  0.176089,  0.035870,  0.306058,  1.767375, 25.961147
    67061.,  0.450000,  0.195655,  0.035688,  0.369310,  2.076046, 26.049186
    67063.,  0.450000,  0.215221,  0.035507,  0.450334,  2.431037, 26.149901
    67065.,  0.450000,  0.234783,  0.035326,  0.554986,  2.844269, 26.263935
    67067.,  0.450000,  0.254349,  0.035145,  0.691761,  3.331747, 26.391820
    67069.,  0.450000,  0.273915,  0.034964,  0.873047,  3.914801, 26.533941
    67071.,  0.450000,  0.293480,  0.034783,  1.117437,  4.622677, 26.691081
    67073.,  0.450000,  0.313046,  0.034601,  1.453394,  5.496008, 26.866141
    67075.,  0.450000,  0.332612,  0.034420,  1.925729,  6.590935, 27.068324
    67077.,  0.450000,  0.352174,  0.034239,  2.605866,  7.989353, 27.327933
    67079.,  0.450000,  0.371740,  0.034058,  3.615935,  9.795359, 27.714926
    67081.,  0.450000,  0.391306,  0.033877,  5.165959, 12.251345, 28.519534
    67083.,  0.450000,  0.410872,  0.033696,  7.694853, 15.385520, 29.973130
    67085.,  0.450000,  0.430438,  0.033514, 12.840633, 23.500974, 37.417073
    67110.,  0.450000,  0.019566,  0.055978,  0.122014,  0.163140, 25.512991
    67112.,  0.450000,  0.039131,  0.055707,  0.127531,  0.328887, 25.523443
    67114.,  0.450000,  0.058697,  0.055435,  0.137003,  0.500065, 25.540229
    67116.,  0.450000,  0.078263,  0.055163,  0.150842,  0.679663, 25.563593
    67118.,  0.450000,  0.097829,  0.054891,  0.169670,  0.870927, 25.593849
    67120.,  0.450000,  0.117391,  0.054620,  0.194352,  1.077464, 25.631368
    67122.,  0.450000,  0.136957,  0.054348,  0.226095,  1.303488, 25.676578
    67124.,  0.450000,  0.156523,  0.054076,  0.266525,  1.553849, 25.729890
    67126.,  0.450000,  0.176089,  0.053804,  0.317849,  1.834399, 25.791662
    67128.,  0.450000,  0.195654,  0.053533,  0.383087,  2.152317, 25.862082
    67130.,  0.450000,  0.215220,  0.053261,  0.466414,  2.516616, 25.941018
    67132.,  0.450000,  0.234783,  0.052989,  0.573665,  2.938838, 26.027770
    67134.,  0.450000,  0.254349,  0.052717,  0.713256,  3.434421, 26.120820
    67136.,  0.450000,  0.273914,  0.052446,  0.897439,  4.024126, 26.217432
    67138.,  0.450000,  0.293480,  0.052174,  1.144660,  4.737068, 26.313567
    67140.,  0.450000,  0.313046,  0.051902,  1.483388,  5.615518, 26.404377
    67142.,  0.450000,  0.332612,  0.051630,  1.959712,  6.722603, 26.487185
    67144.,  0.450000,  0.352174,  0.051359,  2.648027,  8.160506, 26.567217
    67146.,  0.450000,  0.371740,  0.051087,  3.694236, 10.093466, 26.690460
    67148.,  0.450000,  0.391306,  0.050815,  5.301452, 12.886672, 26.912509
    67150.,  0.450000,  0.410872,  0.050543,  8.420344, 17.083049, 27.993006
    67152.,  0.450000,  0.430437,  0.050272, 12.748720, 25.263472, 27.676565
    67177.,  0.450000,  0.019566,  0.074783,  0.125963,  0.168359, 25.397099
    67179.,  0.450000,  0.039131,  0.074565,  0.131660,  0.339434, 25.405315
    67181.,  0.450000,  0.058697,  0.074348,  0.141434,  0.516120, 25.418432
    67183.,  0.450000,  0.078262,  0.074130,  0.155705,  0.701464, 25.436619
    67185.,  0.450000,  0.097828,  0.073913,  0.175105,  0.898765, 25.460083
    67187.,  0.450000,  0.117391,  0.073696,  0.200515,  1.111661, 25.489044
    67189.,  0.450000,  0.136957,  0.073478,  0.233156,  1.344352, 25.523724
    67191.,  0.450000,  0.156523,  0.073261,  0.274661,  1.601627, 25.564262
    67193.,  0.450000,  0.176088,  0.073043,  0.327238,  1.889169, 25.610636
    67195.,  0.450000,  0.195654,  0.072826,  0.393877,  2.213833, 25.662500
    67197.,  0.450000,  0.215220,  0.072609,  0.478672,  2.584052, 25.718936
    67199.,  0.450000,  0.234783,  0.072391,  0.587290,  3.010417, 25.778048
    67201.,  0.450000,  0.254348,  0.072174,  0.727794,  3.506851, 25.836371
    67203.,  0.450000,  0.273914,  0.071957,  0.911816,  4.091940, 25.887925
    67205.,  0.450000,  0.293480,  0.071739,  1.156717,  4.791936, 25.922972
    67207.,  0.450000,  0.313045,  0.071522,  1.489270,  5.645980, 25.926271
    67209.,  0.450000,  0.332611,  0.071304,  1.952742,  6.715626, 25.875669
    67211.,  0.450000,  0.352174,  0.071087,  2.619366,  8.105978, 25.737866
    67213.,  0.450000,  0.371740,  0.070870,  3.622267, 10.001291, 25.475451
    67215.,  0.450000,  0.391305,  0.070652,  5.203455, 12.797876, 24.972706
    67217.,  0.450000,  0.410871,  0.070435,  7.983697, 17.249908, 24.154311
    67219.,  0.450000,  0.430437,  0.070217, 12.746036, 25.297506, 21.255033
    67244.,  0.450000,  0.019566,  0.093587,  0.128920,  0.172233, 25.277995
