0,Square,10,0.737996
0,Square,5.0,0.016065
0,Square,10.0,0.019357
0,Square,15.0,0.027149
0,Square,20.0,0.038802
0,Square,25.0,0.051792
0,Square,30.0,0.058721
0,Square,35.0,0.158226
0,Square,40.0,0.173995
0,Square,45.0,0.096381
0,Square,50.0,0.110715
0,Square,5.0,0.016065
0,Square,10.0,0.016065
0,Square,15.0,0.016065
0,Square,20.0,0.016065
0,Square,25.0,0.016065
0,Square,30.0,0.016065
0,Square,35.0,0.016065
0,Square,40.0,0.016065
0,Square,45.0,0.016065
0,Square,50.0,0.016065
0,Square,5.0,0.018592
0,Square,10.0,0.018592
0,Square,15.0,0.018592
0,Square,20.0,0.018592
0,Square,25.0,0.018592
0,Square,30.0,0.018592
0,Square,35.0,0.018592
0,Square,40.0,0.018592
0,Square,45.0,0.018592
0,Square,50.0,0.018592
0,Square,5.0,0.016261
0,Square,10.0,0.016261
0,Square,15.0,0.016261
0,Square,20.0,0.016261
0,Square,25.0,0.016261
0,Square,30.0,0.016261
0,Square,35.0,0.016261
0,Square,40.0,0.016261
0,Square,45.0,0.016261
0,Square,50.0,0.016261
0,Square,5.0,0.051792
0,Square,10.0,0.050227
0,Square,15.0,0.051792
0,Square,20.0,0.051792
0,Square,25.0,0.050227
0,Square,30.0,0.051792
0,Square,35.0,0.051792
0,Square,40.0,0.051792
0,Square,45.0,0.051792
0,Square,50.0,0.051792
0,Square,5.0,0.028714
0,Square,10.0,0.027149
0,Square,15.0,0.028714
0,Square,20.0,0.028714
0,Square,25.0,0.028714
0,Square,30.0,0.028714
0,Square,35.0,0.028714
0,Square,40.0,0.028714
0,Square,45.0,0.028714
0,Square,50.0,0.028714
